atom_id,delta_e_kj_mol
1785,-8.7691374
1786,12.2521858
1787,-0.733151
1788,37.4048271
1789,-16.5896321
1790,-18.8945962
1791,3.4440229
1810,4.1322961
1813,-2.0870671
1814,21.6589146
1815,25.5600548
1816,-11.8976002
1817,-3.2463801
1818,9.7020874
1819,2.7147064
1820,11.7171936
1821,-20.9170686
1822,-32.2514115
1823,7.1009111
1824,-15.8565408
1825,13.3853197
1826,24.3460426
1827,-18.6951542
1830,35.6810913
1838,19.6628666
1841,10.6222925
1842,25.3209858
1843,-4.5523701
1844,22.8515988
1845,18.0101757
1846,-1.3024356
1847,19.7397194
1848,-14.6155052
1849,-14.589221
1850,-2.674748
1851,36.9181596
1853,-0.1421724
1854,1.7893008
1855,34.4745789
1856,34.8095436
1857,9.4953795
1858,17.1731567
1859,27.3452797
1860,12.0452156
1861,1.0154569
1862,10.2695751
1863,39.4978142
1864,13.7153034
1865,1.0645816
1866,0.6686071
1867,36.2605591
1868,1.3540832
1869,52.3346825
1870,-3.1052592
1871,-1.9699278
1872,58.6930924
1873,39.4531861
1874,-9.909197
1875,11.6272393
1876,-13.7216521
1877,-3.5791176
1878,-6.9076248
1879,2.5638833
1880,0.4939904
1881,11.7735596
1882,-16.6652241
1883,28.5248223
1884,-12.9586278
1885,47.8521234
1886,-24.0422325
1887,19.7385254
1889,23.7758446
1890,5.5354338
1891,-10.2245083
1892,4.3967033
1893,18.9605504
1895,22.8010216
1896,-5.5970621
1897,-2.7306197
1898,8.9985448
1899,2.82951
1900,17.5109215
1901,22.6845951
1902,16.9428558
1903,3.4517541
1904,34.7260704
1905,14.6775713
1906,18.0140114
1907,-2.6373539
1908,22.1375656
1909,19.131834
1910,5.6086607
1911,8.5394802
1912,12.0671864
1913,14.7538138
1914,32.177887
1915,56.7327919
1916,-17.0358295
1917,68.5944214
1918,-9.433691
1920,-4.4905396
1922,13.3917122
1923,6.3442698
1924,0.1768369
1925,9.5994978
1926,1.0068886
1927,-12.3666058
1928,23.2362957
1929,8.6078015
1930,20.5636807
1931,-1.6622963
1932,1.6750731
1934,11.4029789
1935,22.6921673
1936,18.8183747
1937,11.102232
1938,-5.5617776
1942,9.2701855
1943,10.4730644
1944,20.7607594
1946,4.6946931
1947,16.7912636
1948,17.4920693
1949,5.069397
1950,19.1417427
1951,13.6930857
1952,24.9077454
1953,16.7550717
1954,14.620636
1955,-19.0042229
1956,36.8608322
